,ADS,AIR,ALV,BAS,BAYN,BEI,BMW,BNR,CBK,CON,DB1,DBK,DPW,DTE,EOAN,FRE,HEI,HEN3,HNR1,IFX,MBG,MRK,MTX,MUV2,PAH3,QIA,RHM,RWE,SAP,SIE,SRT3,SY1,VOW3
0,-0.01281463261693716,-0.015921447426080704,-0.01572316698729992,-0.014121579937636852,-0.013394758105278015,-0.010688362643122673,-0.01888502947986126,-0.01681101694703102,-0.03400040045380592,-0.01931271329522133,-0.016849728301167488,-0.024307450279593468,-0.01238572783768177,-0.012015475891530514,-0.016791945323348045,-0.010346113704144955,-0.022306423634290695,-0.011274917051196098,-0.02018910087645054,-0.020578015595674515,-0.01858857087790966,-0.011514960788190365,-0.013700014911592007,-0.01258153561502695,-0.02330009639263153,-0.018829630687832832,-0.02346457913517952,-0.01793740503489971,-0.010881892405450344,-0.013387832790613174,-0.02565830387175083,-0.01754302904009819,-0.018656060099601746
1,-0.01585695892572403,-0.019260115921497345,-0.0191421527415514,-0.01691507361829281,-0.016375696286559105,-0.012222759425640106,-0.021416135132312775,-0.021463487297296524,-0.04232195019721985,-0.02323744259774685,-0.020031331107020378,-0.029738789424300194,-0.015186003409326077,-0.014504306949675083,-0.019934147596359253,-0.012218242511153221,-0.02756156399846077,-0.013553472235798836,-0.020271185785531998,-0.0254067275673151,-0.021619485691189766,-0.01412394642829895,-0.016312064602971077,-0.015188499353826046,-0.026983138173818588,-0.020356161519885063,-0.027011163532733917,-0.022558117285370827,-0.012881937436759472,-0.015798009932041168,-0.02737758308649063,-0.019300343468785286,-0.02172374166548252
2,-0.01769348978996277,-0.020782072097063065,-0.021930579096078873,-0.020711811259388924,-0.017985818907618523,-0.013201666995882988,-0.022585362195968628,-0.02054579183459282,-0.04554139822721481,-0.030284319072961807,-0.0215324554592371,-0.036581385880708694,-0.016429251059889793,-0.015819532796740532,-0.021400919184088707,-0.012979796156287193,-0.027797861024737358,-0.014493448659777641,-0.021618252620100975,-0.031591616570949554,-0.02485266700387001,-0.015220030210912228,-0.017606886103749275,-0.018427997827529907,-0.0318421944975853,-0.01955745927989483,-0.02765824645757675,-0.024048106744885445,-0.013982025906443596,-0.01700015366077423,-0.0257126335054636,-0.019276153296232224,-0.028555532917380333
3,-0.01574885845184326,-0.018705498427152634,-0.019483253359794617,-0.01749594695866108,-0.016119221225380898,-0.011501535773277283,-0.019854214042425156,-0.018766529858112335,-0.04359558969736099,-0.02931317687034607,-0.01874978467822075,-0.02910599485039711,-0.015959657728672028,-0.014216042123734951,-0.019073553383350372,-0.011626305989921093,-0.02410983294248581,-0.012982117012143135,-0.017995886504650116,-0.0267811119556427,-0.021055003628134727,-0.013630086556077003,-0.015506703406572342,-0.015890520066022873,-0.02741425670683384,-0.016206620261073112,-0.02423921227455139,-0.021179810166358948,-0.012269813567399979,-0.014894918538630009,-0.0211782306432724,-0.01678755320608616,-0.02320430800318718
4,-0.01730332151055336,-0.021078873425722122,-0.021165141835808754,-0.019029684364795685,-0.017864082008600235,-0.012883942574262619,-0.022429822012782097,-0.01920633390545845,-0.049564339220523834,-0.029091380536556244,-0.02129434235394001,-0.029831821098923683,-0.017094600945711136,-0.016222652047872543,-0.021723942831158638,-0.013399609364569187,-0.026326296851038933,-0.014582849107682705,-0.01919565536081791,-0.028054170310497284,-0.023180650547146797,-0.018492847681045532,-0.017614318057894707,-0.016954543069005013,-0.029339373111724854,-0.017744913697242737,-0.026871701702475548,-0.023788340389728546,-0.013940717093646526,-0.0170633215457201,-0.02319757640361786,-0.018817927688360214,-0.02456720545887947
5,-0.013864114880561829,-0.016757573932409286,-0.016916470602154732,-0.015225881710648537,-0.014368393458425999,-0.010438363999128342,-0.017986925318837166,-0.014780131168663502,-0.046263258904218674,-0.021785570308566093,-0.01712258905172348,-0.022875230759382248,-0.013402486220002174,-0.01329781487584114,-0.017768312245607376,-0.010526634752750397,-0.021129675209522247,-0.01179512869566679,-0.015364556573331356,-0.023591289296746254,-0.01845751516520977,-0.013933535665273666,-0.014184457249939442,-0.01376326009631157,-0.022823283448815346,-0.014365735463798046,-0.026017233729362488,-0.019961101934313774,-0.011070854030549526,-0.013864146545529366,-0.018042724579572678,-0.015322324819862843,-0.019013749435544014
6,-0.016162419691681862,-0.019485030323266983,-0.01971898041665554,-0.017480460926890373,-0.01693287305533886,-0.011801432818174362,-0.02098991721868515,-0.01628861203789711,-0.04377061873674393,-0.0247732475399971,-0.02427339367568493,-0.02646511048078537,-0.015462412498891354,-0.015069874003529549,-0.019999969750642776,-0.012444430962204933,-0.024272926151752472,-0.013701444491744041,-0.01744804158806801,-0.027624431997537613,-0.02111648954451084,-0.015368320979177952,-0.016481345519423485,-0.015749190002679825,-0.026217903941869736,-0.016533387824892998,-0.02704826556146145,-0.022017966955900192,-0.014502052217721939,-0.015650596469640732,-0.020175332203507423,-0.01719621568918228,-0.021831238642334938
7,-0.016047881916165352,-0.01895662024617195,-0.019041750580072403,-0.01677612215280533,-0.01838463731110096,-0.013056028634309769,-0.020389309152960777,-0.015870798379182816,-0.04194599762558937,-0.02351345866918564,-0.022482512518763542,-0.024890435859560966,-0.015604530461132526,-0.018579307943582535,-0.019552413374185562,-0.013967916369438171,-0.024716610088944435,-0.013781368732452393,-0.017431771382689476,-0.028020724654197693,-0.02028867043554783,-0.014717268757522106,-0.016075484454631805,-0.015646392479538918,-0.025338996201753616,-0.016473934054374695,-0.0259030070155859,-0.02158767357468605,-0.01366422139108181,-0.01578403450548649,-0.025722377002239227,-0.01659425161778927,-0.02109707146883011
8,-0.010423197411000729,-0.012450293637812138,-0.012591210193932056,-0.012212693691253662,-0.011726006865501404,-0.008223803713917732,-0.013095683418214321,-0.010091695934534073,-0.02715398743748665,-0.015495851635932922,-0.014529865235090256,-0.01677711308002472,-0.0103982575237751,-0.01210721768438816,-0.013666793704032898,-0.010831487365067005,-0.019449109211564064,-0.008876249194145203,-0.013985482044517994,-0.017823532223701477,-0.013426506891846657,-0.009499361738562584,-0.01047634705901146,-0.010845053009688854,-0.01697949692606926,-0.013798835687339306,-0.01710224151611328,-0.015222574584186077,-0.009737599641084671,-0.010459368117153645,-0.020960072055459023,-0.010976186022162437,-0.013580814935266972
9,-0.01839691959321499,-0.023067038506269455,-0.022178897634148598,-0.020331386476755142,-0.019900886341929436,-0.014524789527058601,-0.02366756834089756,-0.018727023154497147,-0.04574950784444809,-0.02772480808198452,-0.023833943530917168,-0.0327739454805851,-0.017906997352838516,-0.01952161081135273,-0.02271975949406624,-0.019942626357078552,-0.029949171468615532,-0.015720345079898834,-0.022390054538846016,-0.02856861799955368,-0.02505699172616005,-0.017082732170820236,-0.01863723248243332,-0.018347110599279404,-0.029819225892424583,-0.021001344546675682,-0.03004487045109272,-0.025607412680983543,-0.016936101019382477,-0.018078044056892395,-0.028654104098677635,-0.019663432613015175,-0.024770859628915787
