,ADS,AIR,ALV,BAS,BAYN,BEI,BMW,BNR,CBK,CON,DB1,DBK,DPW,DTE,EOAN,FRE,HEI,HEN3,HNR1,IFX,MBG,MRK,MTX,MUV2,PAH3,QIA,RHM,RWE,SAP,SIE,SRT3,SY1,VOW3
0,-0.020549410954117775,-0.032518669962882996,-0.011837008409202099,-0.02850085310637951,-0.032905180007219315,-0.014836302027106285,-0.025841733440756798,-0.01970936544239521,-0.03134698420763016,-0.025798792019486427,-0.029229681938886642,-0.051253385841846466,-0.022359764203429222,-0.021721305325627327,-0.024983907118439674,-0.013222872279584408,-0.02546277642250061,-0.01935698091983795,-0.018105443567037582,-0.026476098224520683,-0.03425149619579315,-0.02145378477871418,-0.011930610984563828,-0.020774586126208305,-0.029628148302435875,-0.028612200170755386,-0.02982090599834919,-0.020816385746002197,-0.013615000993013382,-0.015412910841405392,-0.03078131005167961,-0.014656778424978256,-0.014254318550229073
1,-0.021643659099936485,-0.02791082300245762,-0.013375301845371723,-0.02883649617433548,-0.02124076336622238,-0.017917292192578316,-0.02379738539457321,-0.02109680511057377,-0.03575863689184189,-0.03345954418182373,-0.02190661057829857,-0.051584642380476,-0.02021523378789425,-0.01943015679717064,-0.02283666655421257,-0.0123166274279356,-0.023096472024917603,-0.02023465558886528,-0.02061057835817337,-0.032713621854782104,-0.03474637120962143,-0.02171483263373375,-0.016047757118940353,-0.021939916536211967,-0.030222447589039803,-0.026177003979682922,-0.028383804485201836,-0.02325264737010002,-0.016486573964357376,-0.01667737402021885,-0.02534809149801731,-0.01907096616923809,-0.013946710154414177
2,-0.02060076594352722,-0.03031783178448677,-0.012340311892330647,-0.024838965386152267,-0.02530897594988346,-0.01795528270304203,-0.02675740234553814,-0.02513762377202511,-0.04583510756492615,-0.03822631761431694,-0.027806799858808517,-0.05385083332657814,-0.015805521979928017,-0.022416528314352036,-0.024746574461460114,-0.0156233636662364,-0.038123223930597305,-0.017321310937404633,-0.019063007086515427,-0.03958171233534813,-0.03582590073347092,-0.020656414330005646,-0.020532289519906044,-0.020227890461683273,-0.03298156335949898,-0.02354350872337818,-0.02769436687231064,-0.02157326228916645,-0.012420589104294777,-0.02405400201678276,-0.020561082288622856,-0.012981665320694447,-0.010807296261191368
3,-0.02189626730978489,-0.031622592359781265,-0.01009849552065134,-0.026307368651032448,-0.0136489262804389,-0.018237585201859474,-0.027558326721191406,-0.02525787614285946,-0.04207203909754753,-0.02982422523200512,-0.027887409552931786,-0.049207903444767,-0.017424069344997406,-0.017163526266813278,-0.024793310090899467,-0.014683558605611324,-0.038040656596422195,-0.012283151037991047,-0.007733310107141733,-0.03912801295518875,-0.036983463913202286,-0.018993627279996872,-0.021382691338658333,-0.022316182032227516,-0.030149538069963455,-0.024676421657204628,-0.02908623032271862,-0.02273833379149437,-0.018136266618967056,-0.01811196655035019,-0.024887025356292725,-0.0054411329329013824,-0.017601486295461655
4,-0.020876308903098106,-0.0300523042678833,-0.011371403001248837,-0.02474326081573963,-0.02429356426000595,-0.017839301377534866,-0.027350397780537605,-0.02098957635462284,-0.024519942700862885,-0.03828371688723564,-0.028416208922863007,-0.05479477345943451,-0.017799239605665207,-0.01559462584555149,-0.025933021679520607,-0.016329674050211906,-0.03715244680643082,-0.017484495416283607,-0.015259448438882828,-0.03794282674789429,-0.03738795220851898,-0.017398761585354805,-0.011978494003415108,-0.02098553068935871,-0.03142934292554855,-0.018133701756596565,-0.02939761057496071,-0.022445758804678917,-0.015494530089199543,-0.02429196983575821,-0.021950876340270042,-0.014705872163176537,-0.012100592255592346
5,-0.019807538017630577,-0.03452112898230553,-0.012469226494431496,-0.030849622562527657,-0.02546156756579876,-0.016809986904263496,-0.02917877398431301,-0.019797611981630325,-0.04030545428395271,-0.03828462213277817,-0.02958005480468273,-0.04300316050648689,-0.018630605190992355,-0.02069118246436119,-0.024644838646054268,-0.015405956655740738,-0.03606951981782913,-0.019209124147892,-0.024578982964158058,-0.033545542508363724,-0.033189598470926285,-0.018286947160959244,-0.010402107611298561,-0.022187700495123863,-0.032394926995038986,-0.02420811727643013,-0.02923085168004036,-0.021699147298932076,-0.011645293794572353,-0.017577992752194405,-0.02055141143500805,-0.010992638766765594,-0.015443550422787666
6,-0.022146975621581078,-0.028899678960442543,-0.010958624072372913,-0.030436212196946144,-0.02990853227674961,-0.01902715489268303,-0.027857307344675064,-0.021401599049568176,-0.040049586445093155,-0.03643976151943207,-0.024124909192323685,-0.04366728290915489,-0.018947821110486984,-0.019771847873926163,-0.023295456543564796,-0.014704663306474686,-0.03265399858355522,-0.016937734559178352,-0.015813985839486122,-0.03455892577767372,-0.03838580101728439,-0.022828808054327965,-0.012706526555120945,-0.02244400791823864,-0.032845765352249146,-0.023894377052783966,-0.028928833082318306,-0.02238907292485237,-0.02491825446486473,-0.017610998824238777,-0.02550782449543476,-0.013177716173231602,-0.01434063259512186
7,-0.0196081530302763,-0.03170035406947136,-0.00691396975889802,-0.025150850415229797,-0.027123020961880684,-0.014636357314884663,-0.02598709613084793,-0.02234204299747944,-0.024552108719944954,-0.03747949376702309,-0.023930460214614868,-0.05251379311084747,-0.019953062757849693,-0.020744740962982178,-0.025094402953982353,-0.01446080394089222,-0.037051063030958176,-0.017600517719984055,-0.006810677237808704,-0.035416215658187866,-0.03608185425400734,-0.01808066852390766,-0.011941850185394287,-0.02615925297141075,-0.031449563801288605,-0.025740589946508408,-0.02706046961247921,-0.02436666749417782,-0.013737639412283897,-0.022216424345970154,-0.020691154524683952,-0.024603363126516342,-0.020895302295684814
8,-0.022596046328544617,-0.03282903507351875,-0.014068693853914738,-0.02621062658727169,-0.006953627802431583,-0.015005618333816528,-0.022762710228562355,-0.018018847331404686,-0.016261255368590355,-0.026845160871744156,-0.026156585663557053,-0.04689919576048851,-0.015799159184098244,-0.0209367498755455,-0.0285141970962286,-0.014219471253454685,-0.03789699077606201,-0.013621089980006218,-0.006561636459082365,-0.036019567400217056,-0.036823440343141556,-0.01898750104010105,-0.01885756105184555,-0.026722822338342667,-0.030719274654984474,-0.026082204654812813,-0.02870113216340542,-0.029062358662486076,-0.019107982516288757,-0.01764017902314663,-0.02493100054562092,-0.019172921776771545,-0.015246783383190632
9,-0.02261454425752163,-0.03315854072570801,-0.007109922356903553,-0.024483954533934593,-0.02041615918278694,-0.014902150258421898,-0.029189836233854294,-0.02242102287709713,-0.009826598688960075,-0.037233054637908936,-0.02677002362906933,-0.053443554788827896,-0.017300335690379143,-0.01859511062502861,-0.0294090136885643,-0.01481550931930542,-0.03277672827243805,-0.017844410613179207,-0.013737833127379417,-0.03816768899559975,-0.03572607785463333,-0.022086460143327713,-0.018940703943371773,-0.024481456726789474,-0.032074566930532455,-0.025725455954670906,-0.029754474759101868,-0.027439488098025322,-0.023759106174111366,-0.018646899610757828,-0.02209041826426983,-0.019135024398565292,-0.01363880094140768
10,-0.022469306364655495,-0.03674113005399704,-0.012722617015242577,-0.03164864331483841,-0.033004987984895706,-0.013499186374247074,-0.026807954534888268,-0.019147492945194244,-0.006261961068958044,-0.020681306719779968,-0.027887728065252304,-0.042096659541130066,-0.020605728030204773,-0.02120215632021427,-0.025766292586922646,-0.013037964701652527,-0.03398396074771881,-0.01743651181459427,-0.014417427591979504,-0.03664207085967064,-0.035476673394441605,-0.024077096953988075,-0.011622674763202667,-0.024015914648771286,-0.03176145255565643,-0.02883007377386093,-0.028385499492287636,-0.024034107103943825,-0.018167579546570778,-0.016325781121850014,-0.02639753371477127,-0.022395111620426178,-0.011959902010858059
11,-0.021846728399395943,-0.032259877771139145,-0.008586355485022068,-0.031029071658849716,-0.02487725391983986,-0.016243159770965576,-0.026508240029215813,-0.020963165909051895,-0.028630971908569336,-0.03546378016471863,-0.02563438005745411,-0.039988841861486435,-0.0168523658066988,-0.02124876156449318,-0.02798987366259098,-0.014643981121480465,-0.03266546130180359,-0.018577495589852333,-0.01545060146600008,-0.03542480990290642,-0.03471042960882187,-0.011536192148923874,-0.018665343523025513,-0.03446992486715317,-0.029223620891571045,-0.031190402805805206,-0.027894215658307076,-0.02470989339053631,-0.021001547574996948,-0.017100080847740173,-0.025582142174243927,-0.02166011929512024,-0.018023457378149033
