,ADS,AIR,ALV,BAS,BAYN,BEI,BMW,BNR,CBK,CON,DB1,DBK,DPW,DTE,EOAN,FRE,HEI,HEN3,HNR1,IFX,MBG,MRK,MTX,MUV2,PAH3,QIA,RHM,RWE,SAP,SIE,SRT3,SY1,VOW3
0,-0.01682337373495102,-0.019121818244457245,-0.019917339086532593,-0.016759337857365608,-0.01603417471051216,-0.011875985190272331,-0.02206520363688469,-0.015829000622034073,-0.031135618686676025,-0.022072939202189445,-0.019665347412228584,-0.0241232980042696,-0.014106767252087593,-0.01449871901422739,-0.018131304532289505,-0.011248470284044743,-0.023490197956562042,-0.013152636587619781,-0.016882628202438354,-0.022699128836393356,-0.020650681108236313,-0.013827032409608364,-0.015227852389216423,-0.014844324439764023,-0.025113582611083984,-0.015888938680291176,-0.02561904676258564,-0.020541580393910408,-0.011941645294427872,-0.01482293102890253,-0.020955007523298264,-0.01596044935286045,-0.020810281857848167
1,-0.017656611278653145,-0.019537217915058136,-0.019731955602765083,-0.01843288354575634,-0.01639789529144764,-0.01165669597685337,-0.022966239601373672,-0.01694738119840622,-0.03460504859685898,-0.023007111623883247,-0.02103446237742901,-0.02690983936190605,-0.014784345403313637,-0.014818167313933372,-0.020017381757497787,-0.011644930578768253,-0.024001145735383034,-0.013443690724670887,-0.01783689297735691,-0.023161189630627632,-0.021034836769104004,-0.014182955026626587,-0.015856441110372543,-0.015088134445250034,-0.025609709322452545,-0.016529032960534096,-0.024798419326543808,-0.021922675892710686,-0.01246792171150446,-0.015125863254070282,-0.02016885206103325,-0.0175889004021883,-0.021203067153692245
2,-0.01491444930434227,-0.01758887618780136,-0.01767183467745781,-0.015960752964019775,-0.01608271338045597,-0.010428212583065033,-0.019384916871786118,-0.01579945534467697,-0.03313738852739334,-0.0210017841309309,-0.018105845898389816,-0.023678164929151535,-0.013382747769355774,-0.013334853574633598,-0.01906491070985794,-0.010481818579137325,-0.021614696830511093,-0.013158927671611309,-0.01519749965518713,-0.021019773557782173,-0.019124243408441544,-0.01271858811378479,-0.014399453997612,-0.013743588700890541,-0.02321631647646427,-0.015373648144304752,-0.022070815786719322,-0.018949121236801147,-0.011277691461145878,-0.013673858717083931,-0.017644783481955528,-0.016582615673542023,-0.01919442042708397
3,-0.016927069053053856,-0.018898624926805496,-0.020487776026129723,-0.018229078501462936,-0.016260098665952682,-0.012033412232995033,-0.02013338729739189,-0.015447468496859074,-0.03566596284508705,-0.024659844115376472,-0.018761882558465004,-0.02693733386695385,-0.015629572793841362,-0.014239334501326084,-0.018930885940790176,-0.011328823864459991,-0.023076651617884636,-0.013284646905958652,-0.017315968871116638,-0.024416429921984673,-0.02211315743625164,-0.013626854866743088,-0.015475060790777206,-0.0159702580422163,-0.026981091126799583,-0.015038739889860153,-0.023424172773957253,-0.019720586016774178,-0.012105214409530163,-0.014623099938035011,-0.020662104710936546,-0.01633998565375805,-0.022507481276988983
4,-0.016002418473362923,-0.02084936574101448,-0.021423982456326485,-0.017326489090919495,-0.016227642074227333,-0.011573001742362976,-0.020284239202737808,-0.01667635515332222,-0.03631450608372688,-0.025944825261831284,-0.018968379124999046,-0.0279628187417984,-0.015050231479108334,-0.014489294029772282,-0.020292777568101883,-0.01259165070950985,-0.02344648912549019,-0.01325112022459507,-0.016380613669753075,-0.023429954424500465,-0.021295709535479546,-0.01395249180495739,-0.01576034352183342,-0.01536970492452383,-0.028253966942429543,-0.016084851697087288,-0.02567150816321373,-0.02148597687482834,-0.013406000100076199,-0.016191521659493446,-0.019717363640666008,-0.01769386976957321,-0.023639153689146042
5,-0.014938198029994965,-0.018937934190034866,-0.018962658941745758,-0.017725227400660515,-0.015404080040752888,-0.01182645745575428,-0.021079853177070618,-0.01485393475741148,-0.035038288682699203,-0.022898303344845772,-0.019498780369758606,-0.024854518473148346,-0.014124873094260693,-0.01389060728251934,-0.01984960399568081,-0.012391475960612297,-0.022416800260543823,-0.013727320358157158,-0.015398944728076458,-0.0239493977278471,-0.02000117301940918,-0.014480695128440857,-0.015052620321512222,-0.014480275101959705,-0.025051895529031754,-0.014482773840427399,-0.025460880249738693,-0.021199924871325493,-0.013249745592474937,-0.016063697636127472,-0.018437545746564865,-0.01585477776825428,-0.020801180973649025
6,-0.014931919053196907,-0.018710937350988388,-0.02020930126309395,-0.018253779038786888,-0.015549584291875362,-0.012144982814788818,-0.020195916295051575,-0.014614506624639034,-0.03258204087615013,-0.02448556199669838,-0.02032279036939144,-0.024403326213359833,-0.014195136725902557,-0.015161796472966671,-0.020121019333600998,-0.01163989957422018,-0.022610116750001907,-0.013074017129838467,-0.016710355877876282,-0.02470775507390499,-0.020012499764561653,-0.015048136003315449,-0.015296472236514091,-0.015670206397771835,-0.026655206456780434,-0.014324605464935303,-0.025809943675994873,-0.021532518789172173,-0.012426824308931828,-0.01634046621620655,-0.01849372498691082,-0.015570306219160557,-0.020401664078235626
7,-0.013442778959870338,-0.016802486032247543,-0.017203420400619507,-0.015292147174477577,-0.015456297434866428,-0.010308096185326576,-0.019657578319311142,-0.014395617879927158,-0.031517211347818375,-0.020692260935902596,-0.019108029082417488,-0.024008413776755333,-0.014030021615326405,-0.014517790637910366,-0.018734274432063103,-0.011264380067586899,-0.02251065894961357,-0.011569270864129066,-0.015901805832982063,-0.02309630811214447,-0.018025511875748634,-0.014098081737756729,-0.013813445344567299,-0.013526158407330513,-0.025090018287301064,-0.014079548418521881,-0.021834224462509155,-0.018276121467351913,-0.012057673186063766,-0.015205929055809975,-0.018314087763428688,-0.013859280385077,-0.020078880712389946
8,-0.015831897035241127,-0.017982225865125656,-0.017972826957702637,-0.0159133467823267,-0.015579053200781345,-0.011679420247673988,-0.019628478214144707,-0.014477147720754147,-0.031251683831214905,-0.021645789965987206,-0.020309381186962128,-0.024086542427539825,-0.015438645146787167,-0.015617365017533302,-0.01823817566037178,-0.01234510075300932,-0.0249586533755064,-0.013492937199771404,-0.017133714631199837,-0.022343143820762634,-0.01934814266860485,-0.01363587286323309,-0.014791666530072689,-0.015493164770305157,-0.024568835273385048,-0.014258112758398056,-0.022576244547963142,-0.018847471103072166,-0.011995282024145126,-0.0146821653470397,-0.02039784938097,-0.01487965602427721,-0.020157448947429657
9,-0.014892244711518288,-0.019601549953222275,-0.017806751653552055,-0.017200153321027756,-0.01663961634039879,-0.010857351124286652,-0.019131358712911606,-0.015501909889280796,-0.030441060662269592,-0.02347422204911709,-0.018457481637597084,-0.025745918974280357,-0.014191081747412682,-0.014205084182322025,-0.019109515473246574,-0.012450571171939373,-0.025166379287838936,-0.012632675468921661,-0.0171988345682621,-0.02148815616965294,-0.0193287692964077,-0.01449537742882967,-0.014725007116794586,-0.015905454754829407,-0.023782789707183838,-0.01509396918118,-0.022303598001599312,-0.02015908993780613,-0.012805107980966568,-0.014107811264693737,-0.020572086796164513,-0.016223270446062088,-0.019726216793060303
