,ADS,AIR,ALV,BAS,BAYN,BEI,BMW,BNR,CBK,CON,DB1,DBK,DPW,DTE,EOAN,FRE,HEI,HEN3,HNR1,IFX,MBG,MRK,MTX,MUV2,PAH3,QIA,RHM,RWE,SAP,SIE,SRT3,SY1,VOW3
0,-0.009382885880768299,-0.011719106696546078,-0.010593654587864876,-0.009903544560074806,-0.009661189280450344,-0.0070823137648403645,-0.013562632724642754,-0.010448511689901352,-0.024451708421111107,-0.01343915518373251,-0.012485896237194538,-0.017578819766640663,-0.008715121075510979,-0.010767833329737186,-0.012481337413191795,-0.007840845733880997,-0.01798843778669834,-0.007848097942769527,-0.010353772900998592,-0.015660695731639862,-0.013513670302927494,-0.008591635152697563,-0.008392496034502983,-0.00823440682142973,-0.01597309298813343,-0.01157638430595398,-0.01549891009926796,-0.013495046645402908,-0.007190663833171129,-0.008039623498916626,-0.0140153793618083,-0.009998842142522335,-0.014073840342462063
1,-0.022290019318461418,-0.02562720701098442,-0.022118575870990753,-0.021097145974636078,-0.023240268230438232,-0.0145061444491148,-0.02803465910255909,-0.02120935171842575,-0.04953886568546295,-0.030490856617689133,-0.025897348299622536,-0.03707337751984596,-0.020161548629403114,-0.020687857642769814,-0.025035426020622253,-0.017325708642601967,-0.03313664719462395,-0.01907295733690262,-0.020449375733733177,-0.035891324281692505,-0.029926784336566925,-0.020928286015987396,-0.02003593184053898,-0.017749518156051636,-0.03413661941885948,-0.023241041228175163,-0.03164518624544144,-0.025632372125983238,-0.016602830961346626,-0.019480960443615913,-0.031089207157492638,-0.021677734330296516,-0.02804665081202984
2,-0.012320691719651222,-0.01558664906769991,-0.0136332456022501,-0.013579165562987328,-0.014401756227016449,-0.00957697443664074,-0.014039860107004642,-0.013871242292225361,-0.02972586266696453,-0.014702994376420975,-0.012662111781537533,-0.020459985360503197,-0.013093436136841774,-0.010368348099291325,-0.013759106397628784,-0.01060677133500576,-0.016213901340961456,-0.010229092091321945,-0.013928678818047047,-0.017132939770817757,-0.015763983130455017,-0.012723557651042938,-0.011127529665827751,-0.01114459615200758,-0.01757601834833622,-0.01519792154431343,-0.019275786355137825,-0.013946537859737873,-0.007963108830153942,-0.010444250889122486,-0.018808484077453613,-0.013589628040790558,-0.013831913471221924
3,-0.01942427270114422,-0.021038305014371872,-0.02169710211455822,-0.01973971165716648,-0.01765422895550728,-0.0108357984572649,-0.026887793093919754,-0.01886143535375595,-0.042996179312467575,-0.03136589750647545,-0.022464569658041,-0.03259478136897087,-0.016653329133987427,-0.016790807247161865,-0.020636262372136116,-0.012637639418244362,-0.030611708760261536,-0.016140269115567207,-0.01939639449119568,-0.030585359781980515,-0.027552315965294838,-0.015176071785390377,-0.017313377931714058,-0.017506174743175507,-0.03424197807908058,-0.017044292762875557,-0.026265522465109825,-0.021576430648565292,-0.016468554735183716,-0.016454661265015602,-0.02181202545762062,-0.0191446915268898,-0.028051147237420082
4,-0.006150807254016399,-0.010406913235783577,-0.004730581305921078,-0.010563205927610397,-0.0063393679447472095,-0.005037863738834858,-0.013053279370069504,-0.011791317723691463,-0.030714701861143112,-0.015758177265524864,-0.007316695526242256,-0.018562160432338715,-0.009706574492156506,-0.004592656623572111,-0.00590691389515996,-0.006069564260542393,-0.008846585638821125,-0.005378187634050846,-0.005788604728877544,-0.01906185783445835,-0.013268997892737389,-0.007183758541941643,-0.005915807094424963,-0.005265995394438505,-0.01612427644431591,-0.009726190939545631,-0.01253865659236908,-0.006890943273901939,-0.008297317661345005,-0.006067096255719662,-0.011068293824791908,-0.013402418233454227,-0.014500142075121403
5,-0.00554833235219121,-0.011003079824149609,-0.00683984812349081,-0.008319287560880184,-0.005131762940436602,-0.005186600610613823,-0.012248762883245945,-0.008266575634479523,-0.02878996916115284,-0.011785957962274551,-0.009521160274744034,-0.016266565769910812,-0.009763950482010841,-0.0037638042122125626,-0.005712273996323347,-0.004938353318721056,-0.0069260383024811745,-0.005237129516899586,-0.0058528222143650055,-0.018373697996139526,-0.010842546820640564,-0.006005550734698772,-0.008660467341542244,-0.007002410013228655,-0.01243829820305109,-0.008004827424883842,-0.015083572827279568,-0.006331706419587135,-0.007452758494764566,-0.008464707992970943,-0.00871789176017046,-0.010495616123080254,-0.011519551277160645
6,-0.0029585217125713825,-0.00811759103089571,-0.00430415291339159,-0.006009370554238558,-0.002641912316903472,-0.0019435216672718525,-0.005364773329347372,-0.006732485257089138,-0.02322353608906269,-0.005052071996033192,-0.008372793905436993,-0.012714951299130917,-0.007558612618595362,-0.002312613883987069,-0.005430377088487148,-0.0026259212754666805,-0.005261656362563372,-0.002736847847700119,-0.005490981973707676,-0.012379759922623634,-0.004806214477866888,-0.0031080907210707664,-0.005336269736289978,-0.003751012496650219,-0.0056886859238147736,-0.005483749322593212,-0.011071892455220222,-0.006417389493435621,-0.006374021526426077,-0.005429734941571951,-0.0040061986073851585,-0.007849253714084625,-0.004927350208163261
7,-0.02247888781130314,-0.030408073216676712,-0.02597634121775627,-0.023298313841223717,-0.02426259033381939,-0.016370099037885666,-0.03376826271414757,-0.022458460181951523,-0.06082793325185776,-0.03622150048613548,-0.031786032021045685,-0.04098796471953392,-0.024708162993192673,-0.02315184846520424,-0.02901427634060383,-0.018557896837592125,-0.03792888671159744,-0.019388647750020027,-0.02535286359488964,-0.048040565103292465,-0.03268325328826904,-0.0222528874874115,-0.023804785683751106,-0.021276984363794327,-0.04067659750580788,-0.023324836045503616,-0.036922719329595566,-0.02892439253628254,-0.02406831458210945,-0.023221496492624283,-0.03206958249211311,-0.024365263059735298,-0.03154096007347107
8,-0.00972806103527546,-0.011730157770216465,-0.010596401989459991,-0.009453263133764267,-0.012132875621318817,-0.007779764477163553,-0.011650186032056808,-0.007345728576183319,-0.01938321627676487,-0.013299912214279175,-0.007151879835873842,-0.01423388347029686,-0.009941717609763145,-0.007331161294132471,-0.006055575329810381,-0.009149819612503052,-0.010388297028839588,-0.008458596654236317,-0.00889782514423132,-0.01609831303358078,-0.012335947714745998,-0.010240239091217518,-0.008753865025937557,-0.009768199175596237,-0.013250045478343964,-0.011987281031906605,-0.014267793856561184,-0.006708113476634026,-0.005378806497901678,-0.008776407688856125,-0.015346248634159565,-0.00840363185852766,-0.01160389743745327
9,-0.013511237688362598,-0.020031418651342392,-0.014654509723186493,-0.01910790614783764,-0.015126789920032024,-0.011268489062786102,-0.022874118760228157,-0.017263352870941162,-0.037365734577178955,-0.02385803684592247,-0.014215757139027119,-0.02682625502347946,-0.01606575772166252,-0.009433040395379066,-0.011169619858264923,-0.012050570920109749,-0.01678338646888733,-0.011999603360891342,-0.013110289350152016,-0.02736290544271469,-0.02187933214008808,-0.013762122020125389,-0.014873177744448185,-0.013464215211570263,-0.027491198852658272,-0.01580335944890976,-0.02313114143908024,-0.012694773264229298,-0.015049781650304794,-0.013971141539514065,-0.019814321771264076,-0.019347796216607094,-0.022633269429206848
