,ADS,AIR,ALV,BAS,BAYN,BEI,BMW,BNR,CBK,CON,DB1,DBK,DPW,DTE,EOAN,FRE,HEI,HEN3,HNR1,IFX,MBG,MRK,MTX,MUV2,PAH3,QIA,RHM,RWE,SAP,SIE,SRT3,SY1,VOW3
0,-0.014162330888211727,-0.015149044804275036,-0.016217324882745743,-0.014080331660807133,-0.013966741040349007,-0.009389057755470276,-0.017290934920310974,-0.011480821296572685,-0.025899268686771393,-0.019747402518987656,-0.016076739877462387,-0.020918531343340874,-0.01108386181294918,-0.012082208879292011,-0.015373585745692253,-0.009672995656728745,-0.021572180092334747,-0.011987468227744102,-0.01252016332000494,-0.020800141617655754,-0.017696324735879898,-0.012012278661131859,-0.012418734841048717,-0.012803321704268456,-0.021505974233150482,-0.011040287092328072,-0.018843241035938263,-0.01660476066172123,-0.011727316305041313,-0.011703073978424072,-0.015096713788807392,-0.012262742035090923,-0.017983153462409973
1,-0.011388655751943588,-0.01415683887898922,-0.014642562717199326,-0.013389547355473042,-0.012586003169417381,-0.008371863514184952,-0.015659725293517113,-0.009972212836146355,-0.02298402599990368,-0.017684955149888992,-0.014710978604853153,-0.01903488114476204,-0.009933565743267536,-0.010091755539178848,-0.014323057606816292,-0.008952625095844269,-0.01960662007331848,-0.009769615717232227,-0.011850463226437569,-0.01824921928346157,-0.016128025949001312,-0.010677061043679714,-0.011638419702649117,-0.011788785457611084,-0.01953071542084217,-0.009652194567024708,-0.01772838458418846,-0.015411164611577988,-0.010142084211111069,-0.01103677786886692,-0.014036810956895351,-0.010202199220657349,-0.016208266839385033
2,-0.012964509427547455,-0.015648171305656433,-0.016180304810404778,-0.014042760245501995,-0.013182994909584522,-0.009470617398619652,-0.0171730425208807,-0.012339469976723194,-0.026811886578798294,-0.019324174150824547,-0.016190508380532265,-0.02143605425953865,-0.011390487663447857,-0.011947507038712502,-0.015191303566098213,-0.009450421668589115,-0.02032923512160778,-0.01128394529223442,-0.013158864341676235,-0.01916666515171528,-0.01749589294195175,-0.01132719125598669,-0.012757384218275547,-0.012790078297257423,-0.02127322182059288,-0.011254864744842052,-0.01960039883852005,-0.01644940674304962,-0.010797526687383652,-0.01206420548260212,-0.015150467865169048,-0.012881981208920479,-0.017726577818393707
3,-0.014972351491451263,-0.01876542717218399,-0.01967857964336872,-0.017074406147003174,-0.01604645885527134,-0.011174701154232025,-0.022142069414258003,-0.014340966939926147,-0.03286208212375641,-0.025020387023687363,-0.01992783322930336,-0.026340199634432793,-0.013558287173509598,-0.013700797222554684,-0.018445780500769615,-0.01107320562005043,-0.024605287238955498,-0.012826653197407722,-0.015683814883232117,-0.02266683802008629,-0.02243596501648426,-0.013821317814290524,-0.01571045070886612,-0.01568835787475109,-0.027277860790491104,-0.013105911202728748,-0.02333821915090084,-0.019652925431728363,-0.013312555849552155,-0.014729750342667103,-0.017792969942092896,-0.014813725836575031,-0.023032410070300102
4,-0.013305428437888622,-0.015065881423652172,-0.01547296904027462,-0.013866126537322998,-0.012963507324457169,-0.008814828470349312,-0.016840683296322823,-0.011915327049791813,-0.024448435753583908,-0.01898064836859703,-0.015693211928009987,-0.020777584984898567,-0.010819908231496811,-0.011846438981592655,-0.014910096302628517,-0.008596278727054596,-0.020298561081290245,-0.011355163529515266,-0.012405624613165855,-0.01836160570383072,-0.0172404982149601,-0.010856549255549908,-0.01246274821460247,-0.012290246784687042,-0.02082725614309311,-0.010918372310698032,-0.0188798476010561,-0.015901323407888412,-0.010622807778418064,-0.011684004217386246,-0.014272569678723812,-0.011008813977241516,-0.017413171008229256
5,-0.014614802785217762,-0.0161735899746418,-0.016956403851509094,-0.014468011446297169,-0.014040600508451462,-0.009525742381811142,-0.019014231860637665,-0.013597092591226101,-0.026695357635617256,-0.021588753908872604,-0.01715206354856491,-0.023262180387973785,-0.01176038384437561,-0.0118776336312294,-0.015967346727848053,-0.009683501906692982,-0.02200019545853138,-0.011832245625555515,-0.013377342373132706,-0.020012687891721725,-0.01945403218269348,-0.011755737476050854,-0.013246588408946991,-0.013336415402591228,-0.02366289310157299,-0.012136120349168777,-0.019868509843945503,-0.01705666072666645,-0.011921439319849014,-0.012396513484418392,-0.015957415103912354,-0.012245302088558674,-0.0198392141610384
6,-0.01615707017481327,-0.01832529902458191,-0.01966044120490551,-0.016583871096372604,-0.015611310489475727,-0.010202178731560707,-0.021268436685204506,-0.015395221300423145,-0.028297245502471924,-0.0241598691791296,-0.01921670138835907,-0.025533337146043777,-0.012806503102183342,-0.012802576646208763,-0.018447216600179672,-0.010523135773837566,-0.024342508986592293,-0.0132564352825284,-0.014906373806297779,-0.02074463665485382,-0.02179298736155033,-0.013520278967916965,-0.014908845536410809,-0.015685461461544037,-0.026711948215961456,-0.012561592273414135,-0.022534849122166634,-0.019491827115416527,-0.012745837680995464,-0.014060229994356632,-0.018235236406326294,-0.014331873506307602,-0.022392213344573975
7,-0.013002140447497368,-0.01418439019471407,-0.01480751670897007,-0.013085774146020412,-0.012225832790136337,-0.008790619671344757,-0.015950312837958336,-0.012117121368646622,-0.024126850068569183,-0.018015632405877113,-0.01508217491209507,-0.020340897142887115,-0.010082436725497246,-0.011301452293992043,-0.01451180875301361,-0.008407567627727985,-0.019365092739462852,-0.011029824614524841,-0.01128377765417099,-0.017636023461818695,-0.01640160381793976,-0.010585116222500801,-0.011517005041241646,-0.011465102434158325,-0.019901910796761513,-0.010743636637926102,-0.018062608316540718,-0.015635084360837936,-0.010108956135809422,-0.01104305125772953,-0.01360683050006628,-0.012064533308148384,-0.01653772033751011
8,-0.013979515992105007,-0.015122062526643276,-0.016437510028481483,-0.013352032750844955,-0.013403080403804779,-0.00970749743282795,-0.017487872391939163,-0.012855486012995243,-0.027794843539595604,-0.01965268887579441,-0.01722894050180912,-0.022741639986634254,-0.01094790082424879,-0.012213679030537605,-0.01627727597951889,-0.009139963425695896,-0.021200088784098625,-0.01204923540353775,-0.012449233792722225,-0.02000308409333229,-0.017789766192436218,-0.011677414178848267,-0.012334674596786499,-0.012839481234550476,-0.021777458488941193,-0.011426618322730064,-0.019252821803092957,-0.017506981268525124,-0.01115836575627327,-0.011802267283201218,-0.014474104158580303,-0.012985436245799065,-0.018135443329811096
9,-0.014519642107188702,-0.017778486013412476,-0.018219847232103348,-0.01570763811469078,-0.015261813066899776,-0.009879766032099724,-0.01948467083275318,-0.01476344931870699,-0.027991078794002533,-0.02221924625337124,-0.01866660639643669,-0.023376410827040672,-0.013330485671758652,-0.013753782026469707,-0.01771758496761322,-0.010248847305774689,-0.02272780053317547,-0.012719232589006424,-0.013743079267442226,-0.021699534729123116,-0.01945205219089985,-0.013072608970105648,-0.014947017654776573,-0.014533990062773228,-0.024255851283669472,-0.013155131600797176,-0.022427314892411232,-0.01915227435529232,-0.01196052972227335,-0.014235720969736576,-0.017152611166238785,-0.014989486895501614,-0.02032480016350746
